"","Year_Birth","Marital_Status","Income","Kidhome","Teenhome","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","Response"
"443",1972,"Married",38988,1,2,164,24,103,12,3,42,0
"444",1966,"Single",89572,0,0,606,24,974,197,194,64,1
"445",1984,"Married",42207,1,0,116,11,72,3,17,46,1
"446",1952,"Married",50300,0,1,143,15,60,24,23,5,0
"447",1982,"Together",66664,0,0,398,96,447,220,96,32,0
"448",1964,"Married",60597,0,1,522,0,257,32,16,66,1
"449",1949,"Widow",70165,0,0,161,0,253,199,191,122,0
"450",1958,"Widow",50520,0,1,112,0,6,2,1,14,0
"451",1963,"Married",80124,0,0,483,84,398,205,84,241,0
"452",1975,"Married",33183,1,0,7,5,39,17,15,37,0
"453",1969,"Single",66582,0,0,789,25,420,16,38,0,0
"454",1955,"Together",75261,0,0,1239,17,413,23,34,17,1
"455",1970,"Widow",31880,1,0,4,1,5,2,0,3,0
"456",1951,"Married",53790,0,2,335,42,127,28,5,5,0
"457",1971,"Together",49269,1,0,639,8,166,11,8,58,0
"458",1975,"Married",61456,0,1,563,76,384,84,192,89,0
"459",1980,"Married",37406,1,0,2,0,8,2,2,3,1
"460",1981,"Together",56937,1,0,746,8,125,11,8,8,1
"461",1978,"Married",38415,1,1,22,1,13,4,0,4,0
"462",1988,"Single",20518,1,0,4,1,6,4,1,9,0
"463",1956,"Married",62503,0,1,478,0,193,110,75,117,0
"464",1972,"Single",41644,1,1,20,3,4,2,0,2,0
"465",1977,"Married",55842,0,1,451,0,39,0,4,24,0
"466",1972,"Married",62010,0,1,371,22,39,6,0,92,0
"467",1977,"Married",41124,1,0,281,7,84,15,0,119,0
"468",1973,"Married",38961,1,0,19,7,19,0,1,24,0
"469",1972,"Divorced",37760,1,0,26,3,13,2,10,0,0
"470",1974,"Single",32233,1,0,138,15,35,25,11,72,1
"471",1975,"Married",43057,0,1,213,2,44,0,2,5,0
"472",1960,"Together",83151,0,0,407,28,100,120,74,18,0
"473",1964,"Divorced",78825,0,0,483,74,114,169,37,18,1
"474",1976,"Together",65104,0,1,738,0,232,13,20,50,0
"475",1974,"Married",60093,0,1,502,12,109,16,6,90,0
"476",1969,"Married",14045,1,0,11,0,5,2,1,1,0
"477",1952,"Widow",28457,0,0,24,1,108,29,29,14,0
"478",1958,"Together",78952,0,1,1170,19,594,99,76,134,0
"479",1976,"Divorced",46310,1,0,185,2,88,15,5,14,0
"480",1955,"Together",76005,0,0,983,20,389,240,50,40,0
"481",1964,"Single",58308,0,1,691,0,69,10,0,130,0
"482",1944,"Divorced",55614,0,0,504,13,131,8,0,26,0
"483",1962,"Divorced",59432,0,1,317,25,265,25,19,12,0
"484",1978,"Divorced",55563,0,1,29,1,9,2,0,2,0
"485",1971,"Together",78642,0,1,1396,0,322,46,35,17,0
"486",1949,"Together",67911,0,1,529,0,356,63,28,0,0
"487",1944,"Married",65275,0,0,388,14,218,91,14,21,0
"488",1950,"Together",27203,1,1,13,2,21,4,0,24,0
"489",1961,"Together",48330,0,1,28,0,4,0,0,0,0
"490",1990,"Married",24279,0,0,16,36,21,20,62,108,0
"491",1985,"Married",64355,1,0,1047,0,140,67,38,153,0
"492",1956,"Together",50943,0,1,31,0,7,2,0,6,0
"493",1953,"Widow",53653,0,0,815,10,239,28,10,108,0
"494",1976,"Married",65665,0,1,225,162,387,106,36,29,0
"495",1989,"Single",81217,0,0,493,70,324,146,40,84,0
"496",1992,"Married",34935,0,0,34,4,66,3,10,20,0
"497",1959,"Divorced",61250,0,1,382,138,65,60,26,59,0
"498",1981,"Together",39665,1,0,127,1,56,0,1,31,0
"499",1979,"Single",60152,0,1,325,83,300,86,58,91,0
"500",1964,"Married",48920,0,2,238,17,68,8,10,6,0
"501",1959,"Together",89120,0,0,1168,92,408,72,129,55,0
"502",1946,"Together",44124,0,1,284,0,55,0,6,52,0
"503",1975,"Single",81169,0,0,1288,20,613,80,61,27,0
"504",1961,"Married",36443,1,1,65,0,46,4,3,20,0
"505",1990,"Single",26095,1,0,11,7,9,3,1,11,0
"506",1959,"Together",71367,0,0,227,23,389,42,21,75,0
"507",1944,"Married",80184,0,0,1035,134,670,25,38,0,0
"508",1965,"Divorced",30630,1,1,27,1,12,2,0,10,0
"509",1987,"Single",73454,0,0,982,73,351,56,14,175,0
"510",1991,"Married",42691,0,0,179,2,64,38,17,58,0
"511",1953,"Married",70503,0,0,1379,33,216,0,33,66,0
"512",1987,"Married",25545,1,0,32,1,64,16,12,85,1
"513",1986,"Married",32880,1,0,8,4,15,7,6,2,0
"514",1958,"Together",77863,0,0,881,38,319,16,25,12,0
"515",1977,"Married",50353,0,0,141,15,153,67,31,35,0
"516",1964,"Single",61839,0,0,1000,155,379,224,17,120,0
"517",1960,"Married",49154,1,1,206,10,67,30,27,71,0
"518",1975,"Widow",47682,0,1,162,61,83,97,57,61,0
"519",1969,"Single",72679,0,1,619,54,260,127,54,54,0
"520",1977,"Together",57954,1,1,456,4,24,0,0,9,0
"521",1962,"Married",65316,1,1,112,6,92,3,9,38,0
"522",1982,"Single",28567,1,0,11,3,22,2,2,6,0
"523",1951,"Together",47352,0,1,172,12,112,8,0,15,0
"524",1967,"Together",44931,0,1,78,0,11,0,0,7,0
"525",1967,"Divorced",76982,0,0,464,151,292,65,60,30,1
"526",1952,"Together",57247,0,1,99,4,32,37,54,6,0
"527",1981,"Single",22944,1,0,19,3,19,4,5,26,0
"528",1977,"Together",25315,1,0,1,9,8,11,3,22,0
"529",1969,"Widow",43638,0,1,63,10,83,7,19,19,0
"530",1984,"Single",42710,1,0,252,3,42,4,3,102,0
"531",1982,"Married",84169,0,0,1478,19,403,0,19,0,1
"532",1976,"Together",54058,0,1,198,18,252,32,108,54,0
"533",1990,"Married",24683,1,0,8,4,10,6,7,6,0
"534",1964,"Widow",85620,0,0,416,46,925,60,107,46,1
"535",1980,"Married",47850,1,0,42,7,43,20,12,10,0
"536",1968,"Married",19514,1,1,14,3,21,2,1,28,1
"537",1973,"Married",27159,1,1,17,0,3,0,0,1,0
"538",1963,"Single",39548,1,1,15,4,10,3,4,18,0
"539",1989,"Single",21474,1,0,6,16,24,11,0,34,1
"540",1971,"Single",60504,0,1,458,0,24,6,4,34,0
"541",1963,"Married",22419,0,0,30,3,47,19,21,42,0
"542",1949,"Married",81698,0,0,179,28,520,111,123,47,1
"543",1952,"Together",43462,1,1,90,17,97,15,6,15,0
"544",1978,"Single",54880,1,0,308,85,137,102,45,118,0
"545",1982,"Married",79908,0,0,557,129,761,29,185,111,0
"546",1970,"Married",15315,0,0,7,4,13,15,8,17,0
"547",1959,"Together",87771,0,1,1492,38,287,50,57,33,1
"548",1978,"Married",33039,1,0,30,8,12,8,8,12,0
"549",1980,"Single",81741,0,0,249,153,940,58,134,38,0
"550",1971,"Together",71499,0,1,465,25,132,136,0,37,0
"551",1970,"Married",62466,0,1,129,129,259,168,121,83,0
"552",1963,"Divorced",48799,0,1,174,18,81,28,6,24,0
"553",1950,"Together",52157,0,1,189,2,29,3,2,40,0
"554",1962,"Single",66565,0,1,747,10,161,65,40,42,0
"555",1951,"Together",29298,1,1,6,0,2,2,0,1,0
"556",1979,"Single",47691,0,1,14,0,3,0,0,4,0
"557",1970,"Together",38200,1,1,12,0,4,0,0,1,0
"558",1974,"Married",44989,0,1,98,0,106,49,10,106,0
"559",1968,"Married",38443,1,1,32,0,5,0,0,1,0
"560",1978,"Single",38593,1,0,51,12,49,17,24,24,0
"561",1970,"Together",64413,0,1,200,5,44,0,10,20,0
"562",1981,"Married",36959,1,0,25,6,25,6,0,0,0
"563",1977,"Married",61996,0,1,1050,12,144,0,0,24,1
"564",1968,"Married",51287,1,1,117,0,22,13,0,30,0
"565",1970,"Married",13260,1,1,9,4,17,10,2,7,0
"566",1966,"Together",47472,1,1,56,0,11,0,0,8,0
"567",1956,"Together",54603,1,1,145,13,46,17,2,4,0
"568",1974,"Married",45207,1,1,203,0,10,0,0,2,0
"569",1951,"Together",40689,0,1,270,3,27,39,6,99,0
"570",1967,"Together",47821,1,1,9,0,16,6,6,10,0
"571",1951,"Married",27450,0,0,37,12,23,8,11,52,0
"572",1983,"Together",39453,1,0,46,0,7,0,0,2,0
"573",1971,"Together",26850,1,1,31,1,13,7,2,9,0
"574",1955,"Widow",79800,0,0,1060,21,530,32,0,224,1
"575",1961,"Married",61794,0,1,264,47,188,54,47,11,0
"576",1955,"Together",53863,0,1,399,4,30,6,4,30,0
"577",1959,"Together",24221,0,0,8,9,9,2,5,22,0
"578",1984,"Single",39684,1,0,19,0,35,6,4,17,1
"579",1975,"Married",92163,0,0,817,183,797,106,163,20,1
"580",1965,"Single",69882,0,0,292,127,635,132,127,165,0
"581",1977,"Together",33178,1,0,12,6,2,11,2,16,0
"582",1972,"Married",59973,0,0,130,30,168,20,34,0,0
"583",1975,"Together",17459,1,0,6,4,16,3,10,30,1
"584",1969,"Divorced",23910,1,0,16,12,18,7,1,13,0
"585",1969,"Married",42169,1,1,19,0,9,0,0,2,0
"586",1978,"Married",26224,1,0,4,7,15,13,9,15,0
"587",1981,"Together",31089,1,0,31,3,31,2,8,4,0
"588",1961,"Single",30081,0,1,36,0,2,0,0,4,0
"589",1960,"Together",62807,0,1,526,28,135,10,21,99,0
"590",1955,"Single",72906,0,0,400,32,519,71,75,54,0
"591",1948,"Married",61467,0,2,410,16,114,0,5,49,0
"592",1966,"Together",49618,1,1,80,3,26,4,2,14,0
"593",1986,"Single",21888,1,0,88,10,46,2,3,64,1
"594",1973,"Widow",42429,0,1,55,0,6,2,0,4,0
"595",1956,"Divorced",26150,2,1,5,1,13,3,5,1,0
"596",1975,"Married",30801,0,1,8,4,5,15,2,11,0
"597",1965,"Married",81168,0,0,410,0,592,147,22,22,0
"598",1969,"Single",26877,0,0,101,13,76,20,18,40,0
"599",1944,"Widow",45006,0,0,162,25,53,16,0,10,0
"600",1973,"Married",18978,1,0,2,8,1,4,7,15,0
"601",1967,"Married",22574,2,1,25,0,8,2,0,2,0
"602",1969,"Single",48240,0,0,389,91,248,64,49,41,1
"603",1974,"Married",45837,1,1,215,13,87,17,17,24,0
"604",1965,"Single",35791,2,1,27,0,5,0,0,3,0
"605",1976,"Together",162397,1,1,85,1,16,2,1,2,0
"606",1978,"Widow",54162,1,1,5,6,10,6,5,10,0
"607",1960,"Married",30522,0,1,179,8,83,19,11,26,0
"608",1961,"Married",54456,0,1,352,0,27,10,0,15,0
"609",1971,"Single",31632,0,0,17,8,12,11,15,32,0
"610",1949,"Widow",72298,0,0,625,35,169,58,17,35,0
"611",1978,"Single",36975,1,0,10,6,11,0,4,2,0
"612",1955,"Married",72635,0,0,390,22,323,104,35,107,0
"613",1976,"Married",13624,1,0,10,2,15,2,1,6,0
"614",1975,"Single",84196,0,1,215,63,507,231,31,190,0
"615",1960,"Together",70971,0,1,1001,17,572,93,125,17,1
"616",1977,"Divorced",34487,1,1,19,18,33,24,1,8,0
"617",1977,"Single",28769,1,0,41,5,129,10,3,3,0
"618",1970,"Married",69084,1,0,1181,107,199,39,30,30,0
"619",1958,"Together",65488,0,0,603,45,207,36,18,54,0
"620",1970,"Married",62466,0,1,129,129,259,168,121,83,0
"621",1960,"Single",32218,0,0,10,24,15,13,1,30,1
"622",1973,"Single",83917,0,0,514,22,732,42,198,79,1
"623",1962,"Divorced",46102,2,1,14,0,1,0,0,1,0
"624",1952,"Single",84574,0,0,387,20,713,38,54,163,0
"625",1962,"Married",56181,0,1,121,103,69,8,44,48,0
"626",1950,"Divorced",63120,0,1,965,69,279,54,41,69,1
"627",1971,"Married",73691,0,1,707,21,250,85,43,73,0
"628",1960,"Together",63381,0,1,571,50,142,33,50,159,0
"629",1948,"Together",76140,0,0,586,66,653,17,0,26,0
"630",1959,"Divorced",62859,0,1,1063,89,102,16,12,25,0
"631",1964,"Single",45906,0,1,305,3,27,4,3,144,0
"632",1947,"Together",77632,0,0,1200,105,758,0,42,147,1
"633",1971,"Married",46463,1,1,163,2,40,8,11,11,0
"634",1970,"Together",105471,0,0,1009,181,104,202,21,207,1
"635",1970,"Divorced",55282,1,0,125,6,73,8,4,19,0
"636",1977,"Married",78710,0,1,721,0,152,119,50,50,0
"637",1958,"Together",66886,0,1,315,4,62,41,31,146,0
"638",1960,"Single",98777,0,0,1000,19,711,125,115,38,0
"639",1985,"Together",29103,1,0,16,0,17,6,3,6,0
"640",1974,"Married",67445,0,1,757,80,217,29,80,11,0
"641",1950,"Together",50616,0,1,30,2,25,0,1,9,0
"642",1955,"Divorced",49431,0,1,219,3,100,26,0,17,0
"643",1975,"Divorced",153924,0,0,1,1,1,1,1,1,0
"644",1953,"Together",61278,0,1,111,3,28,2,6,15,0
"645",1958,"Together",26490,0,0,45,47,52,21,20,25,0
"646",1947,"Together",73059,0,1,410,112,420,0,82,71,0
"647",1966,"Single",46734,1,2,100,1,39,6,1,76,0
"648",1963,"Together",56253,0,1,509,0,65,7,11,5,0
"649",1985,"Married",19986,1,0,3,6,5,0,2,6,0
"650",1975,"Widow",58330,0,1,445,53,213,104,98,151,0
"651",1980,"Married",25965,0,0,2,2,11,41,7,11,0
"652",1956,"Together",14661,0,0,4,1,11,6,2,2,0
"653",1959,"Married",18690,0,0,6,1,7,23,4,19,0
"654",1974,"Together",45068,0,1,14,0,3,0,0,3,0
"655",1987,"Single",21063,1,0,1,10,11,19,3,15,0
"656",1968,"Married",29187,1,0,26,0,6,0,0,2,0
"657",1971,"Married",54690,1,1,111,16,37,7,9,18,0
"658",1964,"Married",59304,0,1,418,61,428,80,51,10,0
"659",1962,"Single",59247,0,2,327,9,122,19,14,83,0
"660",1970,"Widow",66731,0,1,371,159,194,58,106,141,0
"661",1980,"Married",77353,0,1,275,59,107,69,101,59,0
"662",1975,"Single",52614,0,1,789,0,142,12,9,38,0
"663",1974,"Married",26751,2,0,1,1,5,0,3,1,0
"664",1963,"Married",81300,0,1,1004,12,145,32,12,36,1
"665",1979,"Single",70337,0,0,187,81,149,25,43,91,0
"666",1985,"Married",36145,1,0,56,4,76,17,1,18,1
"667",1980,"Single",65295,0,0,365,32,117,34,110,6,0
"668",1963,"Divorced",68118,0,1,595,23,123,10,23,154,0
"669",1967,"Divorced",68743,0,0,1132,134,384,175,134,115,0
"670",1982,"Together",41039,0,0,34,11,137,179,61,45,0
"671",1955,"Together",38946,0,1,116,6,82,6,6,41,0
"672",1967,"Together",65777,0,0,565,32,435,28,32,54,0
"673",1976,"Divorced",66476,0,1,372,18,126,47,48,78,0
"674",1972,"Single",86857,0,0,899,102,838,133,102,40,1
"675",1982,"Married",160803,0,0,55,16,1622,17,3,4,0
"676",1989,"Together",77845,0,0,760,40,480,0,40,26,0
"677",1969,"Together",69476,0,0,260,86,559,63,9,67,0
"678",1960,"Divorced",50611,0,1,459,0,24,6,0,4,1
"679",1970,"Single",61209,0,0,466,0,224,119,49,99,0
"680",1958,"Together",42315,0,1,67,15,80,17,11,80,0
"681",1952,"Together",13084,0,0,2,0,7,3,7,10,0
"682",1949,"Widow",47570,1,1,67,1,20,0,2,31,1
"683",1961,"Married",61923,0,2,92,4,18,3,3,6,0
"684",1995,"Single",34824,0,0,4,2,11,2,0,4,0
"685",1949,"Single",26518,1,1,20,1,28,3,3,2,1
"686",1961,"Single",45938,0,0,273,11,178,62,83,29,0
"687",1960,"Together",78468,0,0,434,22,388,104,22,34,0
"688",1973,"Divorced",78901,0,1,321,11,309,33,26,34,0
"689",1978,"Married",71427,2,0,212,123,177,15,64,23,0
"690",1978,"Divorced",71022,0,1,909,12,278,0,12,242,0
"691",1988,"Single",90247,0,0,1184,32,352,21,16,16,1
"692",1968,"Divorced",41335,1,0,112,19,21,16,14,5,0
"693",1986,"Married",71952,1,0,656,80,455,52,107,93,0
"694",1970,"Divorced",35682,1,0,23,0,8,6,2,18,0
"695",1951,"Divorced",43185,0,1,537,6,42,16,6,30,0
"696",1948,"Together",66375,0,1,712,0,45,0,0,191,0
"697",1971,"Married",35178,1,0,23,1,13,2,2,18,1
"698",1986,"Married",25252,1,0,1,3,4,2,2,6,0
"699",1965,"Single",55250,0,1,664,58,83,32,0,66,0
"700",1975,"Single",33249,1,0,6,10,21,19,14,42,0
"701",1953,"Together",58398,0,0,299,5,201,21,21,49,0
"702",1982,"Together",50272,1,0,99,13,66,43,8,4,0
"703",1975,"Married",76618,0,0,749,40,294,121,160,147,0
"704",1960,"Divorced",87305,0,0,345,25,501,63,138,80,1
"705",1978,"Together",25851,1,0,9,4,18,7,5,5,0
"706",1970,"Divorced",58710,0,1,440,81,368,0,122,174,0
"707",1958,"Single",45160,1,1,8,2,5,3,0,3,0
"708",1965,"Married",74806,0,1,670,9,249,0,28,9,0
"709",1954,"Married",59111,0,0,524,0,134,28,28,155,0
"710",1984,"Married",18988,1,0,6,0,6,2,1,1,0
"711",1965,"Married",72190,0,0,597,166,597,172,166,249,0
"712",1976,"Married",7500,1,0,7,0,12,13,7,32,1
"713",1966,"Married",44794,0,1,54,0,7,0,0,4,0
"714",1955,"Married",80395,0,0,445,25,706,80,76,48,0
"715",1976,"Divorced",75012,0,0,294,142,218,164,58,151,0
"716",1965,"Married",56962,2,1,292,3,77,10,3,26,0
"717",1991,"Together",89891,0,0,412,22,132,59,28,183,0
"718",1949,"Divorced",35946,1,1,8,0,3,0,0,0,0
"719",1953,"Together",53593,1,1,349,4,78,6,0,43,0
"720",1978,"Married",66373,1,1,328,9,124,12,24,109,0
"721",1948,"Divorced",45072,1,2,144,2,99,7,2,30,0
"722",1973,"Divorced",89694,1,1,1126,28,211,37,28,42,0
"723",1949,"Married",72025,0,0,967,0,617,43,50,0,1
"724",1973,"Married",67432,0,1,432,79,341,177,136,170,0
"725",1952,"Together",70545,0,1,138,39,63,55,18,21,0
"726",1989,"Married",17487,1,0,0,0,1,7,4,6,0
"727",1969,"Together",62882,0,1,509,133,497,78,24,97,0
"728",1953,"Single",64108,0,1,948,10,86,13,21,21,0
"729",1956,"Together",34941,1,1,39,2,25,4,3,24,0
"730",1950,"Single",48767,1,2,28,1,21,3,0,10,0
"731",1978,"Together",38702,1,0,13,11,24,13,8,40,0
"732",1964,"Married",82224,0,0,307,26,360,138,31,40,0
"733",1952,"Together",83844,0,0,901,31,345,75,31,191,0
"734",1975,"Married",17003,1,0,2,5,12,4,8,7,0
"735",1995,"Single",71163,0,0,283,17,372,138,106,44,0
"736",1970,"Single",33697,1,0,4,3,7,0,3,11,0
"737",1954,"Married",63564,0,0,769,80,252,15,34,65,1
"738",1972,"Together",83443,0,0,518,42,742,55,56,84,0
"739",1958,"Together",51518,0,1,350,8,66,17,4,4,0
"740",1975,"Widow",58330,0,1,445,53,213,104,98,151,0
"741",1969,"Married",80952,0,0,778,178,689,41,27,44,1
"742",1979,"Together",75507,0,0,709,93,374,104,80,80,0
"743",1978,"Together",63855,0,0,359,35,314,93,116,89,0
"744",1972,"Together",62220,0,1,799,12,375,16,12,12,1
"745",1964,"Married",58512,0,1,895,10,101,13,0,152,0
"746",1979,"Married",40662,1,0,40,2,23,0,4,23,0
"747",1959,"Married",38829,0,1,76,0,7,0,0,16,0
"748",1981,"Married",35523,1,0,11,5,22,12,5,11,0
"749",1967,"Single",79146,1,1,245,16,223,21,43,16,0
"750",1988,"Married",78285,0,0,647,107,391,175,67,40,0
"751",1978,"Single",31626,1,0,39,1,9,2,1,34,1
"752",1952,"Single",75127,0,0,203,35,305,46,17,227,0
"753",1955,"Married",48726,0,1,138,3,38,4,0,59,0
"754",1977,"Married",74985,0,0,587,51,898,247,0,86,0
"755",1987,"Together",67430,0,0,595,97,291,127,133,121,0
"756",1965,"Married",46891,0,1,43,12,23,29,15,61,0
"757",1956,"Married",62058,0,1,301,7,74,10,0,58,0
"758",1979,"Married",72063,0,1,180,32,348,76,32,90,0
"759",1951,"Married",78939,0,0,794,115,243,150,0,205,0
"760",1965,"Single",42720,1,1,392,5,91,28,26,112,1
"761",1972,"Married",33622,1,1,39,1,22,3,4,12,0
"762",1957,"Together",6835,0,1,107,2,12,2,2,12,0
"763",1953,"Together",41452,1,1,13,0,3,0,0,0,0
"764",1965,"Single",40760,0,1,70,0,17,0,0,6,0
"765",1958,"Together",74250,0,0,680,11,392,75,0,0,0
"766",1955,"Single",51124,1,1,26,1,11,0,1,4,0
"767",1971,"Single",72258,0,1,522,0,522,227,120,134,0
"768",1974,"Single",71466,0,0,412,12,546,78,182,0,0
"769",1976,"Together",36283,1,1,6,5,5,8,0,5,0
"770",1970,"Single",20587,1,0,2,3,6,4,1,9,0
"771",1972,"Married",30467,1,0,1,3,8,2,5,5,0
"772",1972,"Together",31590,1,0,6,2,15,6,6,3,0
"773",1986,"Married",20425,1,0,4,12,5,3,16,17,0
"774",1960,"Together",17144,1,1,18,2,19,0,2,6,0
"775",1968,"Divorced",42564,0,1,324,48,186,39,18,198,1
"776",1978,"Married",43783,1,0,327,9,125,25,4,139,0
"777",1976,"Divorced",40780,0,1,229,27,71,13,3,34,0
"778",1945,"Together",62847,0,0,521,168,706,80,76,61,0
"779",1957,"Married",82017,0,0,184,23,446,30,23,23,1
"780",1950,"Single",16813,0,0,4,8,11,12,2,13,0
"781",1978,"Married",51267,1,1,183,2,64,7,2,12,0
"782",1961,"Single",46524,0,1,31,19,35,26,14,52,0
"783",1962,"Single",45183,0,0,219,3,60,12,9,12,0
"784",1954,"Married",70421,0,1,479,28,136,75,14,35,0
"785",1965,"Divorced",60161,0,1,584,44,212,46,8,177,0
"786",1973,"Together",73926,0,0,627,91,597,159,91,15,0
"787",1968,"Married",19329,1,0,24,1,16,12,2,5,0
"788",1970,"Married",61872,0,1,330,5,159,36,27,16,0
"789",1956,"Widow",46984,1,1,19,1,10,2,1,8,0
"790",1951,"Married",34838,1,1,28,23,29,29,14,47,0
"791",1944,"Single",82716,0,0,606,148,228,15,148,22,0
"792",1958,"Married",48192,0,0,1039,43,204,153,58,29,1
"793",1976,"Married",49681,0,2,411,0,26,0,0,21,0
"794",1971,"Married",56850,0,1,34,1,19,2,7,0,0
"795",1957,"Married",55267,0,1,161,28,136,32,3,45,0
"796",1972,"Married",59666,1,1,623,53,178,23,17,133,0
"797",1972,"Single",72504,0,1,604,26,470,123,161,94,0
"798",1981,"Married",26872,0,0,3,10,8,3,16,32,0
"799",1972,"Single",21359,1,0,12,2,17,6,1,10,1
"800",1975,"Single",73170,0,0,184,174,256,50,30,32,0
"801",1955,"Married",52750,0,1,393,0,239,90,69,69,0
"802",1986,"Together",91820,0,0,410,73,747,76,161,30,0
"803",1970,"Together",65968,0,1,376,9,83,19,4,4,0
"804",1976,"Married",30772,1,1,7,2,4,2,1,4,0
"805",1954,"Single",22507,0,0,68,0,226,51,157,68,0
"806",1972,"Married",65685,0,1,642,14,49,0,7,57,0
"807",1978,"Married",25804,1,0,8,7,9,13,6,12,0
"808",1980,"Single",76412,0,0,840,53,804,23,71,17,1
"809",1972,"Married",22063,1,0,7,10,13,3,11,11,0
"810",1961,"Single",57091,0,0,464,5,64,7,0,37,1
"811",1963,"Married",22419,0,0,30,3,47,19,21,42,0
"812",1959,"Together",87771,0,1,1492,38,287,50,57,33,1
"813",1959,"Divorced",78353,0,1,752,122,476,39,153,34,0
"814",1954,"Married",93404,1,2,1279,15,287,20,0,15,0
"815",1962,"Divorced",37859,1,2,22,1,8,2,1,2,0
"816",1958,"Widow",80995,0,1,860,28,409,73,56,56,0
"817",1984,"Together",16529,1,0,3,0,5,13,0,1,0
"818",1976,"Divorced",55412,1,1,10,5,28,11,1,8,0
"819",1992,"Single",48789,0,0,351,16,156,7,5,145,0
"820",1967,"Together",56575,0,2,421,5,90,0,16,10,0
"821",1980,"Together",25130,1,0,2,5,7,0,18,18,0
"822",1967,"Married",35441,1,1,25,1,9,2,1,1,0
"823",1956,"Married",71391,0,1,336,123,274,46,123,141,0
"824",1972,"Single",49494,1,0,191,9,97,0,6,82,0
"825",1980,"Divorced",81702,0,0,563,50,774,28,31,187,0
"826",1980,"Single",45889,0,1,31,0,6,0,1,8,0
"827",1977,"Single",56628,0,1,479,5,82,7,17,171,0
"828",1950,"Together",34026,1,1,18,6,15,12,8,17,0
"829",1974,"Married",40049,0,1,91,65,52,10,44,28,0
"830",1988,"Single",34176,1,0,5,7,24,19,14,20,0
"831",1981,"Married",19419,1,0,2,14,28,16,3,7,0
"832",1960,"Married",82504,0,0,362,50,431,134,35,54,0
"833",1970,"Together",81205,0,0,724,74,929,97,55,130,1
"834",1991,"Single",61618,0,0,605,91,399,0,45,205,0
"835",1956,"Single",55284,0,1,547,7,140,0,7,63,0
"836",1963,"Single",49980,0,1,104,1,54,13,9,14,0
"837",1980,"Married",15072,2,0,8,2,15,0,10,18,0
"838",1974,"Single",49166,0,1,224,2,25,7,0,110,0
"839",1954,"Married",65324,0,1,384,0,102,21,32,5,0
"840",1957,"Married",82347,0,0,556,54,845,202,133,63,0
"841",1966,"Together",30843,1,1,24,0,2,0,0,9,0
"842",1974,"Married",46374,0,1,408,0,21,0,0,17,1
"843",1979,"Single",60474,0,1,265,199,303,234,9,170,0
"844",1973,"Married",38576,0,1,34,0,7,0,0,0,0
"845",1985,"Married",55357,2,0,374,64,116,84,25,64,0
"846",1966,"Together",37758,1,1,27,2,10,0,0,1,0
"847",1989,"Married",85710,0,0,600,20,350,29,30,33,0
"848",1969,"Together",23228,1,0,13,2,18,6,1,0,0
"849",1969,"Together",44602,1,1,167,2,89,0,0,34,0
"850",1987,"Married",7500,0,0,0,2,3,4,1,5,0
"851",1989,"Together",38683,1,0,46,35,69,84,41,66,0
"852",1975,"Single",49514,1,0,88,39,78,58,13,93,0
"853",1973,"Together",57906,0,1,243,11,119,10,3,15,0
"854",1966,"Single",43456,0,1,275,11,68,25,7,7,0
"855",1986,"Single",19485,2,0,6,0,4,0,0,0,0
"856",1978,"Together",53172,0,1,121,62,90,68,20,125,0
"857",1979,"Together",30545,1,0,4,12,15,19,7,12,0
"858",1983,"Together",70123,0,0,1308,0,396,23,0,0,0
"859",1959,"Single",62450,0,1,515,47,267,62,66,38,0
"860",1976,"Together",21675,1,0,4,0,16,17,4,4,0
"861",1981,"Single",42395,1,1,48,13,57,24,15,25,0
"862",1978,"Together",61346,1,0,562,58,168,43,16,142,0
"863",1953,"Together",80812,0,0,769,22,500,210,143,33,0
"864",1971,"Divorced",42835,1,1,379,4,93,12,9,98,0
"865",1983,"Married",39922,1,0,29,12,59,19,1,36,0
"866",1956,"Single",86424,0,0,387,68,569,89,45,68,0
"867",1978,"Together",17117,1,0,12,23,38,30,18,7,0
"868",1972,"Single",24762,1,0,6,10,12,3,15,40,1
"869",1975,"Married",35797,0,1,27,1,14,4,1,21,0
"870",1975,"Divorced",36627,2,0,9,1,5,0,0,1,0
"871",1981,"Married",51111,1,1,22,0,19,6,5,3,0
"872",1972,"Single",86857,0,0,899,102,838,133,102,40,1
"873",1970,"Together",82072,0,0,889,55,685,168,92,129,0
"874",1953,"Single",46231,2,1,189,2,55,0,5,12,0
"875",1959,"Married",42243,1,1,48,0,2,0,0,5,0
"876",1962,"Together",51195,1,1,230,14,156,82,24,58,0
"877",1978,"Single",68092,0,0,852,60,207,78,36,48,0
"878",1973,"Married",31814,1,0,35,3,20,4,1,20,0
"879",1965,"Widow",51390,1,1,205,20,47,23,2,56,0
"880",1983,"Married",76630,0,0,255,31,446,40,56,175,0
"881",1991,"Single",26868,1,0,0,0,1,8,3,2,0
"882",1943,"Divorced",48948,0,0,437,8,206,160,49,42,1
"883",1972,"Single",55260,0,1,825,8,53,11,0,242,0
"884",1956,"Together",64090,0,1,316,58,161,76,51,135,1
"885",1958,"Divorced",78331,0,1,756,138,354,160,169,61,0
"886",1974,"Married",37087,1,0,194,55,134,15,0,3,0
